# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
12.9795317; 12.8635389; 0.1844978; -1.1186189; 0.2193384; 3.1160225; -1.1395456
13.1792168; 13.0417546; 0.2761468; -1.0726668; 0.2311911; 3.0421203; -0.4550143
13.3789019; 13.2146123; 0.3753806; -1.0269797; 0.2174362; 3.0121050; -0.4199497
13.5785870; 13.3825378; 0.4815230; -0.9892175; 0.1590713; 2.9841349; -0.3008779
13.7782721; 13.5472669; 0.5929679; -0.9657707; 0.0711328; 2.9639331; -0.0971567
13.9779572; 13.7106871; 0.7072052; -0.9579434; 0.0041524; 2.9573802; 0.1292800
14.1776423; 13.8739896; 0.8218570; -0.9604740; -0.0201964; 2.9660965; 0.4186646
14.3773274; 14.0358893; 0.9374275; -0.9316848; 0.2655558; 2.9941494; 0.8699737
14.5770125; 14.1902409; 1.0590776; -0.8735874; 0.3132026; 3.0516180; 1.2524560
14.7766976; 14.3403247; 1.1928786; -0.8143174; 0.2521630; 3.1325015; 1.5230760
14.9763827; 14.4845506; 1.3356371; -0.7680912; 0.2053129; 3.2281321; 1.7974526
15.1760678; 14.6209453; 1.4822414; -0.7321825; 0.1571525; 3.3374670; 1.9173376
15.3757529; 14.7534288; 1.6342495; -0.7014291; 0.1567126; 3.4502773; 2.0758514
15.5754380; 14.8791119; 1.7879433; -0.6688524; 0.1779504; 3.5683956; 2.2793192
15.7751231; 14.9987645; 1.9452774; -0.6308253; 0.1862751; 3.6937432; 2.4446871
15.9748082; 15.1141995; 2.1079797; -0.6084369; 0.0343348; 3.8236206; 2.4015156
16.1744933; 15.2262674; 2.2693383; -0.6069571; -0.0104768; 3.9470455; 1.4678491
16.3741784; 15.3398973; 2.4324565; -0.6096530; -0.0056499; 4.0206197; 0.1857274
16.5738635; 15.4563280; 2.5991726; -0.6090787; 0.0107044; 4.0298334; -3.8124603
16.7735486; 15.5701032; 2.7628340; -0.6053804; 0.0263473; 3.8362709; -3.6166084
16.9732337; 15.6845867; 2.9294138; -0.5981767; 0.0468661; 3.6431591; -3.4233323
17.1729188; 15.7955098; 3.0941509; -0.5860087; 0.0780006; 3.4504248; -3.2748984
17.3726039; 15.9067017; 3.2651164; -0.5656193; 0.1274819; 3.2553855; -3.1381794
17.5722890; 16.0112439; 3.4355444; -0.5323363; 0.1995715; 3.0568348; -2.9966263
17.7719741; 16.1071787; 3.6066348; -0.4883930; 0.2341078; 2.8543784; -2.7789490
17.9716592; 16.1964970; 3.7835568; -0.4497757; 0.1596147; 2.6528563; -2.4365115
18.1713443; 16.2798011; 3.9651820; -0.4066271; 0.2693978; 2.4626361; -2.0928303
18.3710294; 16.3531754; 4.1505331; -0.3445639; 0.3501590; 2.2866487; -1.9684379
18.5707146; 16.4135126; 4.3406533; -0.2676984; 0.4212594; 2.1077540; -2.1446162
18.7703997; 16.4576906; 4.5356656; -0.1746328; 0.5171916; 1.8937083; -2.3493616
18.9700848; 16.4815030; 4.7342757; -0.0617892; 0.5859442; 1.6272265; -2.4090371
19.1697699; 16.4816484; 4.9345461; 0.0688680; 0.8899244; 1.2983715; -1.4475333
